ProductID;Weight;FatContent;ProductVisibility;ProductType;MRP;OutletID;EstablishmentYear;OutletSize;LocationType;OutletType;OutletSales
FDA15;9.3;Low Fat;0.016047301;Dairy;2.498.092;OUT049;1999;Medium;Tier 1;Supermarket Type1;3.735.138
DRC01;5.92;Regular;0.019278216;Soft Drinks;482.692;OUT018;2009;Medium;Tier 3;Supermarket Type2;4.434.228
FDN15;17.5;Low Fat;0.016760075;Meat;141.618;OUT049;1999;Medium;Tier 1;Supermarket Type1;2097.27
FDX07;19.2;Regular;0;Fruits and Vegetables;182.095;OUT010;1998;;Tier 3;Grocery Store;732.38
NCD19;8.93;Low Fat;0;Household;538.614;OUT013;1987;High;Tier 3;Supermarket Type1;9.947.052
FDP36;10.395;Regular;0;Baking Goods;514.008;OUT018;2009;Medium;Tier 3;Supermarket Type2;5.566.088
FDO10;13.65;Regular;0.012741089;Snack Foods;576.588;OUT013;1987;High;Tier 3;Supermarket Type1;3.435.528
FDP10;;Low Fat;0.127469857;Snack Foods;1.077.622;OUT027;1985;Medium;Tier 3;Supermarket Type3;40.227.636
FDH17;16.2;Regular;0.016687114;Frozen Foods;969.726;OUT045;2002;;Tier 2;Supermarket Type1;10.765.986
FDU28;19.2;Regular;0.09444959;Frozen Foods;1.878.214;OUT017;2007;;Tier 2;Supermarket Type1;4.710.535
FDY07;11.8;Low Fat;0;Fruits and Vegetables;455.402;OUT049;1999;Medium;Tier 1;Supermarket Type1;15.160.266
FDA03;18.5;Regular;0.045463773;Dairy;1.441.102;OUT046;1997;Small;Tier 1;Supermarket Type1;2.187.153
FDX32;15.1;Regular;0.1000135;Fruits and Vegetables;1.454.786;OUT049;1999;Medium;Tier 1;Supermarket Type1;15.892.646
FDS46;17.6;Regular;0.047257328;Snack Foods;1.196.782;OUT046;1997;Small;Tier 1;Supermarket Type1;21.452.076
FDF32;16.35;Low Fat;0.0680243;Fruits and Vegetables;1.964.426;OUT013;1987;High;Tier 3;Supermarket Type1;1.977.426
FDP49;9;Regular;0.069088961;Breakfast;563.614;OUT046;1997;Small;Tier 1;Supermarket Type1;15.473.192
NCB42;11.8;Low Fat;0.008596051;Health and Hygiene;1.153.492;OUT018;2009;Medium;Tier 3;Supermarket Type2;16.218.888
FDP49;9;Regular;0.069196376;Breakfast;543.614;OUT049;1999;Medium;Tier 1;Supermarket Type1;7.183.982
DRI11;;Low Fat;0.034237682;Hard Drinks;1.132.834;OUT027;1985;Medium;Tier 3;Supermarket Type3;2.303.668
FDU02;13.35;Low Fat;0.10249212;Dairy;2.305.352;OUT035;2004;Small;Tier 2;Supermarket Type1;27.484.224
FDN22;18.85;Regular;0.138190277;Snack Foods;2.508.724;OUT013;1987;High;Tier 3;Supermarket Type1;3.775.086
FDW12;;Regular;0.035399923;Baking Goods;1.445.444;OUT027;1985;Medium;Tier 3;Supermarket Type3;40.640.432
NCB30;14.6;Low Fat;0.025698134;Household;1.965.084;OUT035;2004;Small;Tier 2;Supermarket Type1;15.872.672
FDC37;;Low Fat;0.057556998;Baking Goods;1.076.938;OUT019;1985;Small;Tier 1;Grocery Store;2.143.876
FDR28;13.85;Regular;0.025896485;Frozen Foods;165.021;OUT046;1997;Small;Tier 1;Supermarket Type1;4.078.025
NCD06;13;Low Fat;0.099887103;Household;45.906;OUT017;2007;;Tier 2;Supermarket Type1;838.908
FDV10;7.645;Regular;0.066693437;Snack Foods;423.112;OUT035;2004;Small;Tier 2;Supermarket Type1;1065.28
